score,description,date,sentimento
1.0,"O mouse é simples e compatível com o preço. Nesse ponto, teria uma boa avaliação.Só que tem um problema que considero bem inconveniente. O receptor não é compatível com Unifying.E isso não está informado em lugar nenhum, nem na loja oficial da Logitech.No notebook para o qual comprei o mouse, uso um teclado Logitech sem fio.Tive que usar uma porta USB para o teclado e outra para o mouse. Num note que tem apenas 3 portas USB, acho ruim.  A Logitech deveria deixar isso bem claro.",3/12/2019,Ruim
4.0,"Mouse de boa qualidade, de ótima precisão e resposta. Como esperado, o mouse é todo de plástico resistente, com acabamento imitando metal. Comprei com bom custo-benefício.Ponto negativo: é menor do que pensei. A mão não se acomoda toda sobre o mouse. Podia ser mais ergonômico. No entanto, as outras qualidades compensaram esse aspecto negativo.",14/04/2020,Bom
5.0,"Há aqui muitos comentários acusando o produto de vir usado porque levam em consideração as marcas que há nos ""pés"" do mouse. Não é que o mouse seja usado (porque realmente não é); a questão é que a fabricante não envia o mouse com proteções adesivas nos pés e na parte de cima, onde tem os botões. O que ocorre é que a embalagem do mouse é revestida de plástico por cima e papelão/papel por baixo. Como há uma folga de espaço entre o mouse e a embalagem, a movimentação do produto no transporte acaba fazendo com que o mouse se mova dentro da embalagem e isso faz com que o mouse possa ter marcas na parte de cima, nos botões, e marcas de uso na parte inferior, como se fossem usados. Prova disso é que as marcas são retas e têm um sentido só. Portanto, o mouse é, de fato, novo. O problema é que a Logitech não reveste o mouse com adesivos para proteger a parte superior e inferior do atrito com a própria parte interna da embalagem.Quanto ao uso, o mouse é ótimo para o uso comum, doméstico. É bem responsivo. Não há aquela luz vermelha comum aos mouses de sensor óptico. O clique não é silencioso, mas não é algo que não me incomode (até gosto do barulho do clique quando está tudo em silêncio). Não tenho tempo suficiente de uso com este exemplar para dizer o quanto dura a pilha e o quanto dura os botões. No entanto, minha companheira utiliza um exemplar do mesmo modelo no trabalho por 8h diárias com a mesma pilha há mais de 1 ano e não teve nenhum problema com os botões e/ou com o funcionamento geral do mouse.",19/06/2021,Bom
5.0,Gostei bastante do mouse. É bonito e com uma ótima precisão. Atende bem as necessidades diárias. Recomendo a todos.,4/09/2019,Bom
5.0,"Otimo mouse, a logitech sempre dispoe de bons produtos. Esse mouse tem uma boa pegada nao sendo muito grande, o laser é invisivel entao a bateria tem uma maior autonomia. Vai ser util pra melhorar sua produtividade em tarefas simples, jogos mais basicos e navegacao",13/04/2019,Bom
5.0,"Satisfeita com o produto, leve, bonito, e pequeno. Reparei leve ""arranhões"" nas borrachas como mencionado nos comentários aqui, porem não acho que sejam marcas de uso, e nem que o mouse seja usado.... so marcas mesmo do próprio atrito do mouse com a embalagem no transporte e etc.... enfim, estou satisfeita com a compra e como sempre o transporte da amazon perfeito, comprei numa quarta feira e na sexta ja estava em mãos.EDIT: a pilha que veio junto ao mouse durou cerca de 6 meses, como podem ver, adquiri o produto no inicio de novembro de 2020 e agora no inicio de maio 2021 acabou, considerando que eu sou uma pessoa que tenho consumo médio alto, achei que durou bem! Agora vamos ver quanto tempo durará a próxima pilha....",6/11/2020,Bom
3.0,"Quem tem mãos grandes acaba ficando muito tempo com as mãos ""em concha"" por que o mouse é estreito demais.Para uso com Word e Excel é Ok mas não recomendaria para uso com tratamento de imagens ou qualquer outro que exija segurar o mouse por um tempo prolongado.O Click falha algumas vezes, mas não chega a irritar.",21/02/2020,Neutro
1.0,"Comprei esse mouse achando que pelo menos funcionaria legal por conta do seu preço, mas o que acontece é que o ponteiro não para quieto, você mexe um pouco e a seta treme toda, não dá para fazer absolutamente nada. Não serve para uso. Você clica em lugares errados sem querer. Um desastre trotal! Devolvi imediatamente e peguei o modelo PEBBLE M350, e foi uma das minha melhores compras esse ano!",10/05/2021,Ruim
4.0,"Comprei para a minha namorada e ela gostou. Se assemelha muito ao da Microsoft, tanto em usabilidade quanto em bateria. Arrisco a dizer que sua precisão é até melhor, sendo mais responsivo.",28/04/2019,Bom
1.0,"Assim como relatado por outros usuários, o mouse que recebi também apresenta marcas de uso nos ""pés"". Só não irei realizar a troca pois preciso do mouse com urgência para trabalho e por conta de toda a burocracia de encaminhar aos correios, aguardar dias para receber um novo produto e correr o risco de receber outro nas mesmas condições ou em condições piores.",18/08/2020,Ruim
5.0,"O ""Mouse sem fio Logitech M170 com Design Ambidestro Compacto, Conexão USB e Pilha Inclusa - Preto"" é muito bom. Preciso e rápido nos seus movimentos, vem contribuindo para a melhora do meu desempenho nas atividades que realizo no Notebook. Como não uso o Notebook para jogar, não tenho como fazer a avaliação nesse campo. Entretanto, o único porém, para mim, é o seu tamanho: é pequeno para a minha mão, conforme visto nas fotos.  Mesmo assim, aproveitando o seu  ""Custo x Benefício"", vale a pena comprar esse mouse.",21/11/2020,Bom
4.0,"Gostei, mouse muito preciso sem nenhum atraso nos cliques e a sensibilidade de movimentação do cursor é boa! O design dele é muito bonito, sem muitos detalhes, o que deixa mais elegante e limpo.E o tamanho dele também é ótimo para transportar, já que tenho um notebook e esse mouse sem fio ajuda muito.Mas gostaria de deixar claro 2 pontos negativos...1 - Tamanho: Para quem tem mãos grandes, como é o meu caso, pode se incomodar no começo (se não tiver costume é claro) tenho um mouse gamer e me adaptei com tamanho maior do mouse e estranhei muito a pegada deste Logitech, mas depois de usar por umas 3 horas me acostumei e não achei tão ruim, mas você pode demorar um pouco para se adaptar.2 - Lateral de plástico: Ao comprar eu já tinha assistido alguns vídeos no YouTube sobre o mouse mas nenhum mencionou sobre se a lateral do mouse é emborrachado ou plástico do próprio corpo, comprei na esperança de ser emborrachado mas não, é o mesmo material do corpo dele só que testurizado com uns detalhes.PORÉM... Isso não incomoda nada, por ser um mouse sem fio de baixo custo tá ótimo, estou satisfeito com o produto.Quem está pensando em comprá-lo, pode ir sem medo.",26/08/2020,Bom
4.0,"O produto é muito  bom, para afazeres de rotina trabalho e casa.Se você procura para usar na rotina de jogos, não recomendo já que o mouse não irá suportar as exigências de comandos e cliques, assim danificando o produto mais rapidamente.",21/04/2020,Bom
5.0,"A melhor marca de mouse para se confiar no plug and play. Tem botão de on/off para não gastar pilha (vem com uma AA). Ótimo acabamento. Tempo de resposta muito rápido e com precisão. Só achei um pouco pequeno em termos ergonômicos e olha que tenho as mãos pequenas. Os dedos se ajustam direito, mas o mouse é pequeno para a palma da mão.",29/03/2021,Bom
2.0,"Comprei este mouse e fiquei chateado ao notar que os ''pés'' do mouse estava riscado. Sinal de uso. Mouse novo não vem com marcas.No mais, está funcionando. É bonito e ergonômico. Achei a sensibilidade um pouco elevada. Atrapalha um pouco mas com o tempo acostuma. Quanto a durabilidade das pilhas, ainda não posso opinar.",10/03/2021,Ruim
5.0,"EDITADO: Liguei pro 0800 e o suporte pediu NF, foto do produto com o número de série e recebi um novo vindo pelo FEDEX. Fiquei feliz por ter tido o aparelho sust. fora que ainda me sinalizaram por email!!!!Usei sem problemas por quase 4 meses e do nada ele parou de funcionar. Troquei as pilhas e nada, mas nada msm! Liguei pro 0800 e fiz uma reclamação. Até o incidente eu estava super contente, mais me decepcionei e aguardo o retorno do suporte dele.",23/02/2021,Bom
4.0,"Comprei o produto a 04 meses e tem me atendido bem. A instalação é simples, basta conectar o receptor no seu PC e já está pronto pra uso!Junto com o mouse já vem inclusa uma pilha, o que facilita e permite usá-lo assim que você tira da caixa.Às vezes sinto um leve desconforto usando-o, talvez motivado por ele ser pequeno e a minha mão relativamente grande. Porém, nada que represente um problema real no dia-a-dia.O clique dele é suave e faz um barulhinho ao pressionarmos os botões, mas nada espalhafatoso.O meu já caiu umas 3x, derrubado pela minha gatinha e está firme forte, sem rachaduras ou marcas visíveis. Recomendo. p.s. Não jogo no computador, então não posso falar do desempenho em games. Se esse for seu foco, acredito que tenham produtos mais específicos e interessantes pra esse propósito. Este mouse é básico.",1/09/2020,Bom
5.0,"Estava usando um de fio da Multilaser  e já estava me incomodando com a imprecisão dele, por isso resolvi comprar um sem fio, e comprei esse pelos comentários positivos que vi aqui. Quando fiz o teste imediatamente percebi a diferença da qualidade de um pro outro. Esse mouse é bem ergonômico e muito preciso, não há “engasgos” como havia no outro, sem contar que por ele ser sem fio não existe aquela chatice de ficar jogando o fio de um lado pro outro por atrapalhar nas atividades, principalmente quando a mesa de trabalho é pequena. A conectividade dele é instantânea, plugou, usou. Trabalho com projetos em software 3D onde uso o mouse bem mais do que o teclado, e até agora ele tem me satisfeito em todos sentidos. Não tenho do que reclamar. Parabéns Logitec! Já tinha um teclado sem fio da marca pra iPad, com a mesma qualidade e custo benefício excelente.",17/06/2021,Bom
4.0,"Pedi na terça e chegou na quinta. Impressionante! Ainda vou avaliar melhor o dispositivo. Já conheço a marca, por isso comprei Logitech. Plug and play e funcionou.A única observação que posso deixar aqui, foi que não achei de primeira o receptor USB, assim que abri a tampa para colocar a pilha direito. Ele forma uma parede onde a pilha fica, só vendo.",16/04/2020,Bom
5.0,"O Mouse Logitech M170 é um excelente produto! Tem uma relação custo x benefício muito boa, e cumpre o que promete: é compacto, tem uma conexão boa com o computador, além de ser bem confortável para utilizar (mesmo sendo “mais compacto”, possui “clicks” suaves, um scroll bem legal). A bateria (pilha que já vem inclusa) é garantida que dura até 12 meses de uso. Já possuía outros produtos da Logitech e optei por esse por confiar no prestígio que a marca tem. Destaque: o laser (muitas vezes vermelhos nos demais mouses) aqui é “invisível”, então não se assuste caso a luz não acenda. Recomendo!",8/05/2021,Bom
3.0,"Em relação a entrega, zero reclamações, antes do previsto.Já o produto, tenho usado desde o dia 13/04 e o produto tem satisfeito minhas necessidades (home office/EAD). É um mouse robusto, confortável de manipular e rápido. Minha reclamação é que o mouse veio USADO. Tem várias marcas de uso nas borrachinhas embaixo dele e uma mancha pequena na parte de cima, o que denuncia que foi previamente usado. Além disso, o mouse veio ligado já dentro da caixa.Não vou pedir devolução e reembolso devido a burocracia mas deixo aqui meu alerta para quem deseja comprar o produto.",21/04/2021,Neutro
2.0,"O produto é ótimo, tem um  design bonito e funciona bem. Mas a parte da entrega foi péssima entregaram o produto para um vizinho na mesma rua só porque tinha o primeiro nome igual, sendo que o número das casas é diferente, e pior entregou para uma pessoa que eu não conhecia que acabou abrindo o pacote, ainda bem que eu sabia quem era e ele me devolveu. Mas é uma total falta profissionalismo da parte do entregador de entregar um produto em uma casa com números diferentes só usando o nome para identificar.",10/08/2021,Ruim
4.0,"Já estou usando a duas semanas, para uso no dia-a-dia e para jogar algumas horas por semana.Para o uso do dia-a-dia é muito bom: é bonito, tem precisão é boa, os botões são bons, a rodinha funciona bem.Para jogos funciona bem, note que não é um mouse gamer, mas ele é bom o bastante para jogar com tranquilidade.Vamos aos pontos fracos: O mouse não é desconfortável, mas poderia ser melhor. Sou uma pessoa de mãos pequenas (homem de 1 metro e 60), mas mesmo assim penso que o mouse poderia ser um pouco maior ou ter uma curvatura um pouco melhor.No geral, é um bom produto e esse vai ser meu mouse principal durante um bom tempo.",25/06/2020,Bom
5.0,"O mouse é utilizado basicamente para trabalhos, por esse motivo dei 4 estrelas para jogos e games, pois não costumo jogar. Sobre ergonomia, ele é mais confortável para quem tem mãos de tamanho pequeno ou médio, pois considero a minha grande e o mouse ficou pequeno, mas a culpa é minha rsrs. Já estou de olho no modelo M280 que é maior e parece ser mais apropriado para meu tamanho de mão. Recomendo com certeza, mas poderia vir com bateria Duracell. Fica a dica.",19/12/2020,Bom
4.0,"O mouse é bastante confortável. Tem uma ótima pegada. Estou curtindo muito. A entrega Prime da Amazon é sem palavras. Comprado no dia 01/11 e entregue no dia 03/11. Irei dar créditos à transportadora Loggi também: excepcional o atendimento. Nunca tive problemas. Entrega sempre rápida. Contudo, não irei dar 5 estrelas no produto pois veio com a parte de baixo arranhada, como se fosse usado. Não creio que tenha sido isso, apenas arranhados na própria embalagem.",4/11/2021,Bom
5.0,"Não sei o que mais posso relatar, atendeu as minhas expectativas.Edit: Quase um ano de uso, continua ótimo. Estou comprando o segundo, recomendo a todos. A carga da pilha ainda não acabou, dura muito. Ele é extremamente confortável e funcional, perfeito para trabalho. Nunca utilizei mouses gamers para saber se tem diferença, mas uso ele para jogar e jogo tranquilamente RTS.",7/11/2020,Bom
5.0,"Recomendadíssimo! Cara o produto é sensacional. Só tenho uma observação a fazer, é sobre a embalagem que a Amazon coloca para a entrega, mano a embalagem é um papel como se estivesse enviando uma folha, podendo ocasionar a quebra do aparelho em si, mas em questão do aparelho ele é incrível, bem com tudo que a descrição fala, já vem com a pilha como vocês podem ver nas imagens, o adaptador para conseguir usar o mouse, fica dentro do mouse, mais especificamente do lado a pilha em um local próprio para ele, ENTÃO gente, pode confiar o produto é realmente de boa qualidade! E a entrega foi super rápido, e olha que estamos vivendo em um momento de pandemia, mas foi entregue bem antes do prazo.",6/09/2020,Bom
4.0,"Bom, pessoal, a Amazon tá de parabéns. A entrega foi muito rápida. Em relação ao mouse, eu estava com vontade de trocar o meu mouse DELL (surrado e guerreiro) por um Logitech. A diferença maior é na leveza, ainda não sei se isso é bom ou ruim. Estou ainda me acostumando com o mouse. No geral, tá dando para o gasto. A relação Custo X Benefício tá tranquilo. Agora o DELL era melhor.",15/07/2021,Bom
4.0,"Achei um pouco pequeno. Pois eu tinha um da Microsoft um pouco maior e com duas pilhas. Era bem mais pesado. Tinha uma ergonomia melhor. Esse é bem mais leve. A ótica não emite luz, por isso imagino que a pilha dure muito mais. O fato de ter um botão lig/desl + um receptor USB pequeno, que pode ser deixado plugado na porta, ajuda muito.Mas acho que é questão de se acostumar.",28/01/2022,Bom
5.0,"O mouse é ótimo! Já veio com a pilha.Tem um local próximo a pilha para guardar o USB wireless, o que dificulta muito a perda desta peça, para quem costuma usar o mouse em locais diferentes.A chave liga/desliga ajuda a economizar a pilha, mas depois de um certo tempo sem uso ele desliga automaticamente, e para voltar a ligar basta clicar em qualquer botão.Utilizo apenas para trabalhar com software de projetos. Me atendeu muito bem!",15/10/2020,Bom
5.0,"A mídia não pôde ser carregada.               O melhor para esse nível de preço. Responde muito bem aos movimentos e cliques. Ele não possue a luz do leitor óptico tornando a pilha duradoura e sem importunar no escuro. Pode incomodar o barulho do clique, mas dentro do padrão.  Se você tem as mãos grandes não recomendo.",1/06/2020,Bom
5.0,"Sem queixas! Até aqui só elogios, gostei do preço, do tamanho mais compacto, da resposta aos comandos, cor etc. Recomendaria certamente a quem estivesse em dúvida.Só não posso opinar ainda sobre autonomia de uso. Pelo menos faz mais de um mês que uso diariamente e ainda não precisei repor a pilha.",7/07/2020,Bom
3.0,"Particularmente, o mouse comprado sozinho não me agradou muito não. Sensibilidade ruim, alguns legs, dificuldade em me ajustar a cliques duplos, muito pequeno, aparentemente muito frágil, etc. Entretanto, comprei um kit e esse mesmo mouse fazia parte do conjunto. Para a minha surpresa, nenhum dos problemas encontrados no mouse que foi adquirido só era encontrado no kit. Até o peso parece maior. Não sei se tirei a sorte grande com a minha unidade ou se é geral para os modelos avulsos, que não fazem parte do kit.",12/09/2020,Neutro
2.0,"O mouse é de uma construção boa, tem bons clicks é bonito. Porém ao testar o mouse eu percebi certa imprecisão nos movimentos, não consigo fazer linhas retas nele, é como se estivesse tentando usar o mouse com alguém me balançando. Testei em vários mousepads e continuou. Me desapontei por ser uma marca reconhecida por seus produtos.Incomoda ao ponto de não conseguir usar o mouse por 10 minutos.",9/04/2020,Ruim
5.0,"Já tive um mouse desse, só que ele era azul. Testei outros três mouses desde que o outro parou de funcionar, pois queria ver outros modelos/marcas, alguns foram mais caros, outros mais baratos, mas nenhum se equiparou a esse. Ótimo custo benefício, silencioso, clique suave, ergonômico e a pilha dura que é uma beleza. Depois de um tempo, voltei a ele e não me arrependo em nada.",8/09/2021,Bom
5.0,"É um produto simples, econômico e com bom custo-benefício. É compacto e se sai melhor para mãos menores. Funciona bem para quem quer um mouse sem fio para uso cotidiano, navegação na internet e tarefas comuns. Logitech é referência em periféricos, e se quiser algo mais refinado para uso profissional (design, multitarefas etc.) ou jogos, ela possui ótimos produtos específicos para isso.",11/08/2021,Bom
5.0,"Entrega rápida, ótimo custo benefício e atende a sua função. Vale ressaltar que ele é ideal para mãos pequenas, se tem a mão grande adquirir o M280, em uma das fotos é possível comparar o tamanho desses dois modelos com o M185 que também é de pequeno porte (uso educacional e profissional) não há pontos negativos em sua usabilidade para casa ou escritório, Logitech é sinônimo de qualidade!",26/06/2021,Bom
3.0,"O mouse se propõe a ser compacto e nisso é ótimo, é um mouse pequeno. É um mouse de fácil utilização e transporte. Não é um mouse para jogos, nem para quem vai usar o mouse todo dia por horas seguidas. Depois de um tempo ocorre um problema na rodinha de scroll, fica quase impossível descer e subir páginas pois o comando se inverte a todo tempo (mesmo com limpeza). O problema de scroll é comum, amigos já tiveram e até existem tutoriais na internet tentando resolver, porém o problema volta em poucos dias. É um ótimo mouse me questão de consumo de energia, usei por um pouco mais de um ano e nunca tive que trocar a pilha. Por fim, é um bom mouse para quem usa pouco, caso use por muito tempo, recomendo investir um pouco mais em um mouse melhor.",25/01/2022,Neutro
5.0,"Bom, o mouse é um pouco pequeno, mas você acostuma em poucos dias. Já estou fazendo uso há mais de 1 mês e não está dando problema. Ele já caiu no chão e não quebrou, o que os outros já estragava de primeira. Eu vejo isso como ponto positivo. A precisão dele é muito boa e até o momento não tive lag/bug. Ele funciona a uma boa distância. Eu uso para trabalhos de faculdade e freelancer.",12/05/2021,Bom
1.0,"Produto comprado a 1 ano e meio, nunca caiu no chão está intacto igual novo, e simplesmente está com grandes falhas na roda de rolagem... primeiro produto que compro dessa marca já é bem decepcionante.  Tenho um mouse de fio da Microsoft comprado em 2010... e até hoje 100% funcional com mais de 10 anos de uso... isso mesmo 10 anos! está perfeito não quebra, não falha... Vou comprar outro agora claro da Microsoft.Se você não se importa de um produto ser descartável, pode compra esse logitech, agora se procura algo realmente com qualidade durável vai de outra marca.",25/11/2021,Ruim
3.0,"Tenho o M170 e mudei para o M280, pois achei este último mais ergonômico e macio para mim, além de ter o indicador de bateria.Para o dia a dia recomendo o M280; para uso esporádico, o M170 serve bem e tbm tem longa duração de bateria. Os botões dele não acho tão sensíveis e a diferença dele pro M280 é que ele é pra ambidestro.",20/03/2022,Neutro
5.0,"Já tive muitos mouse sem fio, mas nunca da Logitech. Perguntei a um amigo, já que tinha, ele me disse apenas pontos positivos. Comprei dia 08/04 e chegou 10/04, já estou usando. A pegada dele é diferente e a precisão é surpreendente. Apesar de ficar pequeno na minha mão é confortável. Veio com um pilha AA, e tem um visor ótico invisível, não fica aquela luz vermelha forte.Recomendo.",10/04/2021,Bom
5.0,"O mouse é bem confortável, funciona muito bem e facilita muito por não ter um fio no caminho ao deslizá-lo pela mesa.Vale informar que a parte USB que conecta no Computador/Notebook se encontra dentro do mouse, ao lado da pilha. Fiquei preocupada quando não vi essa peça visível na embalagem, após abrir descobri que dentro do mouse tem um lugar que foi feito pra guardar essa peça, evitando com que ela se perca ao guardar/transportar o mouse quando não estiver em uso.",15/03/2022,Bom
5.0,"Para meu uso diário é excelenteeeee, trabalho como home office e nas horas vagas uso o notebook com o mouse também, ele fica ligado 24 horas pra testar se a pilha é tudo isso que dizem, e já tem incríveis 3 meses que não compro pilha (isso pq eu tinha um mouse da DELL de 300 reais que eu apelidei de pacman das pilhas, gastava em média 4 pilhas por mês, com esse aqui da LOGITECH ESTOU NO CÉU). Não tem como descrever outro mouse melhor. Tem 3 meses que fiz a compra, ainda não precisei trocar a pilha, se durar 1 ano como o especificado eu conto aqui pra vocês.PARA JOGOS eu não achei tão bom, as vezes da um lagzinho com um pouco de delay, mas consigo jogar meu pubg normalmente sem problemas no notebook, talvez seja só uma questão de costume e modificar algumas configurações.Veio 1 pilha junto com o mouse, achei ótimo porque aí não preciso sair pra comprar KKKKK",3/03/2021,Bom
5.0,"Mouse com ótima precisão no seu uso, e com custo-benefício excelente.A recepção do sinal é excelente e não interfere em outros equipamentos, já que como todos os mouses sem fio, usam a frequência de 2.4ghzA qualidade de acabamento é padrão Logitech, excelente.A ergonomia dele não me agradou muito, mas como é muito leve isso não incomoda. Mesmo assim, prefiro o Logitech M185, que tem preço semelhante.",13/06/2021,Bom
4.0,"Quando comparado com o anterior, achei esse um pouco leve.Senti falta de um LED indicativo de que está ligado e que mude de cor quando a bateria está ficando fraca.Nada acende nele, pois o LED do movimento é infravermelho (não visível).Para a atividade que é, até que gostei da precisão.",20/03/2021,Bom
4.0,"Mouse bom por um bom preço. Funciona bem para o meu tipo de uso (trabalho). Minha única reclamação é que o scroll estraga rápido. Eu rolo e trava e não desce nem sobe a página, um saco, mas não foi diferente de nenhum mouse que já comprei, então não é exclusivo desse. O material do mouse é resistente e o formato encaixa bem na minha mão pequena. Não é pesado e desliza bem nas superfícies em geral.",19/03/2022,Bom
4.0,"O produto é bom, mas é bem simples. A Amazon me sugeriu a compra junto com um teclado que tem a tecnologia unifying, sendo que o este mouse NÃO possui a mesma tecnologia, demandando uma porta USB específica.Ele desliza razoavelmente bem, mas sempre mostrou pouca sensibilidade para o uso do botão da direita, requerendo mais de um clique para atender o comando.É um mouse pequeno e leve, algo que acho bom. Não testei com jogos, mas, pelo uso diário para escritório, imagino que precisaria de um mouse melhor, em se tratando de games.",1/02/2022,Bom
5.0,"A mídia não pôde ser carregada.               Muito bom adorei, a única coisa ruim é só o barulho que ele faz, Está um pouco arranhado em baixo do mouse na parte preta, mas está funcionandomuito bem, o produto chegou super embalado, eu recomendo o produto e também o vendedor 😉.",14/04/2021,Bom
4.0,"O mouse é bonito, confortável, não tem delay para uso doméstico e parece ter uma pilha muito duradoura.Entretanto, tem um detalhe importante a ser destacado: o sensor dele não é centralizado, fazendo com que os movimentos em diagonal superior, especialmente à esquerda, sejam executados de uma forma estranha no computador.Provavelmente é algo com o que se acostuma depois de um tempo, mas se você precisa usar vários mouses no seu dia a dia, isso vai dificultar. Se não quer passar por isso ou ter que sofrer essa adaptação, não compre um mouse de sensor não-central como esse.Edit: menos de um ano se passou e o scroll do mouse já está estragado, com aquele defeito de não responder bem às rolagens para cima e para baixo.",5/06/2021,Bom
5.0,"Mouse sensacional. Bom para tudo que uso no computador, jogos e tarefas do dia a dia. Tem bom alcance e a pilha que veio junto ainda está em uso. Desliza fácil em todas superfícies que testei, desde mousepad até braço do sofá e perna da calça, e tem uma precisão ótima. Vi alguns comentários de pessoas dizendo que o mouse veio usado porque tinham ""riscos"" na parte de baixo, mas os que vieram no meu obviamente eram da fabricação e testagem do material, e depois que passei um pano saíram todas marcas. Vale cada centavo, ainda mais para as pessoas (que como eu) estavam traumatizadas com mouses que pareciam valer o preço e no fim eram uma porcaria, tipo o da Multilaser, que eu odiei. Em resumo, ideal pra quem precisa de qualidade e preço justo.",22/10/2021,Bom
5.0,"Para o uso no note, atende plenamente bem. Quem tem mão grande (como eu) vai sofrer bastante, mas como foi para uma criança (neta de um amigo que pediu para que eu comprasse) acredito que no caso, ela não terá problema algum, muito pelo contrário. O mouse é do tamanho ideal para sua pequena mão. Mas mesmo assim, para uso com note é excelente e a marca,bom...dispensa qualquer comentário.",2/01/2022,Bom
5.0,"Não tenho outras referências, pois é o priemiro do tipo que uso. Penso ainda assim, não ser 100% preciso. Uma coisa que talvez para uma próxima compra eu observe seja o fato de que há a necessidade de usar a entrada USB (próxima vez tentarei um com conexão via Bluetooth. No mais, pelo preço, para uso rotineiro de ""escritório"", tem um ótimo custo-benefício.",19/05/2021,Bom
5.0,"No inicio fiquei receoso de comprar o mouse, pois alguns usuários reportaram que os produtos aparentavam já está usados, mas no meu caso ele chegou em perfeitas condições (e não, não estou sendo pago para elogiar o produto, mas bem que queria kk). De qualquer forma, já veio com uma pilha instala e, achei a instalação super rápida, sem nenhum problema, apenas conectei plug e já estava funcionando.Fora isso, o mouse tem uma estética bonita, leve e bem ergonômico, não apresenta nenhum daley, duplo click ou que seja. Caso você esteja procurando um mouse sem fio, esse da logitech é o melhor que eu comprei até hoje, até mesmo pelo custo benefício.",27/08/2021,Bom
